No,Judul Penelitian,Penulis & Tahun,Tujuan Penelitian,Hasil Penelitian
1,Rancang Bangun Aplikasi Penjualan Online Menggunakan Metode RAD pada UMKM Utama Sport,Merancang aplikasi penjualan online yang mampu mengelola transaksi dan data produk secara efisien menggunakan metode RAD.,"Metode Rapid Application Development (RAD) mampu mempercepat proses pengembangan aplikasi penjualan online serta meningkatkan efisiensi pengelolaan transaksi dan pengolahan data produk secara terintegrasi, sehingga sistem dapat mendukung aktivitas penjualan UMKM secara lebih optimal."
2,Penerapan Metode Rapid Application Development (RAD) dalam Pengembangan Website Penjualan Produk UMKM Bikomi Utara,Mengimplementasikan metode RAD dalam pengembangan sistem penjualan berbasis web.,Sistem penjualan berbasis web yang dikembangkan menggunakan metode Rapid Application Development (RAD) mampu meningkatkan efisiensi pelayanan serta mempermudah pengelolaan data transaksi dan data produk UMKM secara terstruktur dan real-time.
3,Penerapan Metode Rapid Application Development (RAD) untuk Digitalisasi UKM Industri Busana Muslim,Merancang prototype aplikasi marketplace dan company profile berbasis web sebagai dukungan untuk digitalisasi UMKM.,"Digitalisasi proses bisnis UKM industri busana muslim dengan pendekatan Rapid Application Development (RAD) mampu mendukung pengelolaan transaksi dan promosi produk secara lebih terorganisasi, sehingga meningkatkan efisiensi operasional dan kemudahan pengelolaan data usaha."
4,Optimalisasi Sistem Digitalisasi Penerimaan dan Pengeluaran Barang dengan Laravel 11,"(Devgan Oktawijaya & Agustin, 2024)",Membangun sistem digitalisasi penerimaan dan pengeluaran barang dengan memanfaatkan framework Laravel 11 sebagai back-end utama.,Penggunaan Laravel 11 sebagai back-end mempercepat proses transaksi dan meningkatkan efisiensi distribusi barang secara digital.
5,Rancang Bangun Sistem Informasi Penerimaan Mahasiswa Baru Berbasis Web Dengan Menggunakan Framework Laravel,"(Nugraha et al., 2024)",Merancang dan menerapkan sistem pendaftaran mahasiswa baru berbasis web untuk meningkatkan efektivitas proses penerimaan.,Laravel digunakan untuk membangun back-end REST API yang mempercepat proses pendaftaran mahasiswa baru dan mengoptimalkan integrasi data sistem.
6,Perancangan Sistem Informasi Berbasis Website Pada Himpunan Mahasiswa Program Studi Sistem Informasi,"Merancang sistem informasi berbasis website menggunakan metodologi Prototype untuk mendukung pengelolaan kegiatan, pendaftaran, dan komunikasi organisasi.","Sistem mampu meningkatkan efektivitas pengelolaan data organisasi, pendaftaran, dan aspirasi mahasiswa. Pengujian Black Box menunjukkan seluruh fungsi berjalan valid."
7,Pengembangan Platform Digital Wisata Memancing di Kota Banda Aceh,"Mengembangkan platform digital berbasis website untuk menyediakan informasi spot memancing, toko pemancingan, dan toko umpan di Kota Banda Aceh.","Platform digital berbasis CMS WordPress mampu menyajikan data spot memancing, toko pemancingan, dan toko umpan dalam bentuk tabel dan peta interaktif sehingga mempermudah akses informasi bagi pemancing dan mendukung promosi wisata memancing daerah."
8,Pengembangan Sistem Informasi Manajemen Keuangan Lesehan & Kolam Pancing Kresna Berbasis Website Menggunakan Model Evolutionary Prototyping,Mengembangkan sistem informasi manajemen keuangan berbasis web untuk mengatasi pencatatan keuangan manual pada usaha lesehan dan kolam pancing.,"Penerapan model evolutionary prototyping berhasil menyederhanakan proses bisnis keuangan, meningkatkan akurasi pencatatan dan pelaporan, serta memperoleh tingkat penerimaan pengguna sebesar 87% berdasarkan pengujian UAT."
9,Pembangunan Sistem Informasi Berbasis Web pada Penjualan Usaha Memancing di Toko Dunia Pancing,Membangun sistem informasi penjualan berbasis web untuk mendukung pengelolaan transaksi dan data penjualan pada usaha pemancingan.,"Sistem informasi berbasis web mampu meningkatkan efektivitas pencatatan transaksi penjualan, mempercepat proses pengolahan data, serta membantu pemilik usaha dalam memantau aktivitas penjualan secara terstruktur."
10,Evaluasi usability website Dinas Pendidikan Provinsi Riau menggunakan metode System Usability Scale,Mengevaluasi tingkat usability website Dinas Pendidikan Provinsi Riau menggunakan metode System Usability Scale (SUS).,Hasil penelitian menunjukkan bahwa metode System Usability Scale (SUS) dapat digunakan untuk mengukur tingkat usability website berdasarkan persepsi pengguna. SUS menghasilkan skor kuantitatif yang dapat digunakan untuk menilai kemudahan penggunaan sistem serta menjadi dasar dalam menentukan kebutuhan perbaikan pada website.
11,Evaluasi usability website Shopee menggunakan System Usability Scale (SUS),Mengevaluasi tingkat usability website Shopee menggunakan metode System Usability Scale (SUS) berdasarkan pengalaman pengguna.,Hasil penelitian menunjukkan bahwa System Usability Scale (SUS) mampu memberikan gambaran mengenai tingkat kemudahan penggunaan website berdasarkan penilaian pengguna. Penggunaan SUS membantu mengetahui apakah sistem memiliki usability yang baik atau masih memerlukan perbaikan dari sisi kemudahan penggunaan.
